"category_id";"name";"type"
1;"Clinical Nursing";"category2"
2;"Academic Nursing";"category2"
3;"Nursing Research";"category2"
4;"Administrative/Leadership";"category2"
5;"Community/Public Health";"category2"
120;"Software Engineering";"category1"
121;"Data Science";"category1"
122;"Machine Learning Engineering";"category1"
123;"DevOps Engineering";"category1"
124;"Quality Assurance";"category1"
125;"Product Management";"category1"
126;"Project Management";"category1"
127;"Business Analysis";"category1"
128;"Data Engineering";"category1"
129;"UX/UI Design";"category1"
130;"Graphic Design";"category1"
131;"Digital Marketing";"category1"
132;"SEO/SEM Specialist";"category1"
133;"Content Strategy";"category1"
134;"Copywriting";"category1"
135;"Social Media Management";"category1"
136;"Human Resources";"category1"
137;"Recruiting/Talent Acquisition";"category1"
138;"Learning & Development";"category1"
139;"Training & Development";"category1"
140;"Finance & Accounting";"category1"
141;"Financial Analysis";"category1"
142;"Accountant";"category1"
143;"Audit & Compliance";"category1"
144;"Risk Management";"category1"
145;"Investment Banking";"category1"
146;"Corporate Law";"category1"
147;"Legal Counsel";"category1"
148;"Paralegal";"category1"
149;"Operations Management";"category1"
150;"Supply Chain Management";"category1"
151;"Logistics Coordination";"category1"
152;"Procurement/Purchasing";"category1"
153;"Facility Management";"category1"
154;"Customer Success";"category1"
155;"Customer Support";"category1"
156;"Technical Support";"category1"
